epoc (ms),timestamp (+0100),elapsed (s),w (number),x (number),y (number),z (number)
1580245353250,2020-01-28T22.02.33.250,0.000,0.762,-0.371,-0.532,0.000
1580245353261,2020-01-28T22.02.33.261,0.011,0.762,-0.371,-0.532,0.000
1580245353271,2020-01-28T22.02.33.271,0.021,0.762,-0.371,-0.532,-0.000
1580245353281,2020-01-28T22.02.33.281,0.031,0.762,-0.371,-0.531,-0.000
1580245353290,2020-01-28T22.02.33.290,0.040,0.762,-0.371,-0.531,-0.000
1580245353300,2020-01-28T22.02.33.300,0.050,0.762,-0.370,-0.532,-0.001
1580245353310,2020-01-28T22.02.33.310,0.060,0.762,-0.370,-0.531,-0.001
1580245353321,2020-01-28T22.02.33.321,0.071,0.762,-0.370,-0.532,-0.001
1580245353331,2020-01-28T22.02.33.331,0.081,0.762,-0.370,-0.532,-0.001
1580245353340,2020-01-28T22.02.33.340,0.090,0.762,-0.370,-0.532,-0.001
1580245353350,2020-01-28T22.02.33.350,0.100,0.762,-0.370,-0.532,-0.001
1580245353360,2020-01-28T22.02.33.360,0.110,0.762,-0.370,-0.532,-0.001
1580245353370,2020-01-28T22.02.33.370,0.120,0.762,-0.370,-0.532,-0.002
1580245353381,2020-01-28T22.02.33.381,0.131,0.762,-0.370,-0.532,-0.002
1580245353391,2020-01-28T22.02.33.391,0.141,0.762,-0.370,-0.532,-0.002
1580245353400,2020-01-28T22.02.33.400,0.150,0.762,-0.370,-0.532,-0.002
1580245353410,2020-01-28T22.02.33.410,0.160,0.762,-0.370,-0.532,-0.002
1580245353420,2020-01-28T22.02.33.420,0.170,0.762,-0.369,-0.532,-0.002
1580245353430,2020-01-28T22.02.33.430,0.180,0.762,-0.369,-0.532,-0.002
1580245353441,2020-01-28T22.02.33.441,0.191,0.762,-0.369,-0.532,-0.003
1580245353450,2020-01-28T22.02.33.450,0.200,0.762,-0.369,-0.532,-0.003
1580245353460,2020-01-28T22.02.33.460,0.210,0.762,-0.369,-0.532,-0.003
1580245353470,2020-01-28T22.02.33.470,0.220,0.762,-0.369,-0.532,-0.003
1580245353480,2020-01-28T22.02.33.480,0.230,0.762,-0.369,-0.532,-0.003
1580245353491,2020-01-28T22.02.33.491,0.241,0.762,-0.369,-0.532,-0.003
1580245353501,2020-01-28T22.02.33.501,0.251,0.763,-0.369,-0.532,-0.003
1580245353510,2020-01-28T22.02.33.510,0.260,0.763,-0.369,-0.532,-0.004
1580245353520,2020-01-28T22.02.33.520,0.270,0.763,-0.369,-0.532,-0.004
1580245353530,2020-01-28T22.02.33.530,0.280,0.763,-0.369,-0.532,-0.004
1580245353540,2020-01-28T22.02.33.540,0.290,0.763,-0.369,-0.532,-0.004
1580245353551,2020-01-28T22.02.33.551,0.301,0.763,-0.368,-0.532,-0.004
1580245353559,2020-01-28T22.02.33.559,0.309,0.763,-0.368,-0.532,-0.004
1580245353570,2020-01-28T22.02.33.570,0.320,0.763,-0.368,-0.532,-0.005
1580245353580,2020-01-28T22.02.33.580,0.330,0.763,-0.368,-0.532,-0.005
1580245353590,2020-01-28T22.02.33.590,0.340,0.763,-0.368,-0.532,-0.005
1580245353600,2020-01-28T22.02.33.600,0.350,0.763,-0.368,-0.532,-0.005
1580245353611,2020-01-28T22.02.33.611,0.361,0.763,-0.368,-0.532,-0.005
1580245353619,2020-01-28T22.02.33.619,0.369,0.763,-0.368,-0.532,-0.005
1580245353630,2020-01-28T22.02.33.630,0.380,0.763,-0.368,-0.532,-0.005
1580245353640,2020-01-28T22.02.33.640,0.390,0.763,-0.368,-0.532,-0.006
1580245353650,2020-01-28T22.02.33.650,0.400,0.763,-0.368,-0.532,-0.006
1580245353660,2020-01-28T22.02.33.660,0.410,0.763,-0.368,-0.532,-0.006
1580245353671,2020-01-28T22.02.33.671,0.421,0.763,-0.368,-0.532,-0.006
1580245353679,2020-01-28T22.02.33.679,0.429,0.763,-0.368,-0.532,-0.006
1580245353690,2020-01-28T22.02.33.690,0.440,0.763,-0.367,-0.532,-0.006
1580245353700,2020-01-28T22.02.33.700,0.450,0.763,-0.367,-0.532,-0.006
1580245353710,2020-01-28T22.02.33.710,0.460,0.763,-0.367,-0.532,-0.007
1580245353721,2020-01-28T22.02.33.721,0.471,0.763,-0.367,-0.532,-0.007
1580245353731,2020-01-28T22.02.33.731,0.481,0.763,-0.367,-0.532,-0.007
1580245353741,2020-01-28T22.02.33.741,0.491,0.763,-0.367,-0.532,-0.007
1580245353750,2020-01-28T22.02.33.750,0.500,0.763,-0.367,-0.532,-0.007
1580245353760,2020-01-28T22.02.33.760,0.510,0.763,-0.367,-0.532,-0.007
1580245353770,2020-01-28T22.02.33.770,0.520,0.763,-0.367,-0.532,-0.007
1580245353781,2020-01-28T22.02.33.781,0.531,0.763,-0.367,-0.532,-0.007
1580245353789,2020-01-28T22.02.33.789,0.539,0.763,-0.367,-0.532,-0.008
1580245353800,2020-01-28T22.02.33.800,0.550,0.763,-0.367,-0.532,-0.008
1580245353810,2020-01-28T22.02.33.810,0.560,0.763,-0.367,-0.532,-0.008
1580245353820,2020-01-28T22.02.33.820,0.570,0.763,-0.367,-0.532,-0.008
1580245353830,2020-01-28T22.02.33.830,0.580,0.764,-0.367,-0.532,-0.008
1580245353839,2020-01-28T22.02.33.839,0.589,0.764,-0.367,-0.532,-0.008
1580245353849,2020-01-28T22.02.33.849,0.599,0.764,-0.367,-0.532,-0.008
1580245353860,2020-01-28T22.02.33.860,0.610,0.764,-0.366,-0.532,-0.008
1580245353870,2020-01-28T22.02.33.870,0.620,0.764,-0.366,-0.532,-0.009
1580245353880,2020-01-28T22.02.33.880,0.630,0.764,-0.366,-0.532,-0.009
1580245353890,2020-01-28T22.02.33.890,0.640,0.764,-0.366,-0.532,-0.009
1580245353901,2020-01-28T22.02.33.901,0.651,0.764,-0.366,-0.531,-0.009
1580245353909,2020-01-28T22.02.33.909,0.659,0.764,-0.366,-0.531,-0.009
1580245353920,2020-01-28T22.02.33.920,0.670,0.764,-0.366,-0.531,-0.009
1580245353930,2020-01-28T22.02.33.930,0.680,0.764,-0.366,-0.531,-0.009
1580245353940,2020-01-28T22.02.33.940,0.690,0.764,-0.366,-0.531,-0.009
1580245353950,2020-01-28T22.02.33.950,0.700,0.764,-0.366,-0.531,-0.010
1580245353959,2020-01-28T22.02.33.959,0.709,0.764,-0.366,-0.531,-0.010
1580245353970,2020-01-28T22.02.33.970,0.720,0.764,-0.366,-0.531,-0.010
1580245353980,2020-01-28T22.02.33.980,0.730,0.764,-0.366,-0.531,-0.010
1580245353990,2020-01-28T22.02.33.990,0.740,0.764,-0.366,-0.531,-0.010
1580245354000,2020-01-28T22.02.34.000,0.750,0.764,-0.366,-0.531,-0.010
1580245354009,2020-01-28T22.02.34.009,0.759,0.764,-0.366,-0.531,-0.010
1580245354019,2020-01-28T22.02.34.019,0.769,0.764,-0.366,-0.531,-0.010
1580245354030,2020-01-28T22.02.34.030,0.780,0.764,-0.366,-0.531,-0.010
1580245354040,2020-01-28T22.02.34.040,0.790,0.764,-0.366,-0.531,-0.011
1580245354050,2020-01-28T22.02.34.050,0.800,0.764,-0.366,-0.531,-0.011
1580245354060,2020-01-28T22.02.34.060,0.810,0.764,-0.366,-0.531,-0.011
1580245354069,2020-01-28T22.02.34.069,0.819,0.764,-0.366,-0.531,-0.011
1580245354079,2020-01-28T22.02.34.079,0.829,0.764,-0.366,-0.531,-0.011
1580245354090,2020-01-28T22.02.34.090,0.840,0.764,-0.366,-0.531,-0.011
1580245354100,2020-01-28T22.02.34.100,0.850,0.764,-0.366,-0.531,-0.011
1580245354110,2020-01-28T22.02.34.110,0.860,0.764,-0.366,-0.531,-0.011
1580245354120,2020-01-28T22.02.34.120,0.870,0.764,-0.366,-0.531,-0.011
1580245354129,2020-01-28T22.02.34.129,0.879,0.764,-0.366,-0.531,-0.010
1580245354139,2020-01-28T22.02.34.139,0.889,0.764,-0.366,-0.531,-0.010
1580245354150,2020-01-28T22.02.34.150,0.900,0.764,-0.366,-0.531,-0.010
